Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,12/12/2012 12:00:00 AM,219
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,12/12/2012 12:00:00 AM,244
DOB: UrbanCanvas,Facebook,http://www.facebook.com/NYCurbancanvas,12/12/2012 12:00:00 AM,216
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,12/12/2012 12:00:00 AM,307
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,12/12/2012 12:00:00 AM,236
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,12/12/2012 12:00:00 AM,244
DFTA,Facebook,http://www.facebook.com/timebanksnyc,12/12/2012 12:00:00 AM,260
DOB: Cool Roofs,Facebook,http://www.facebook.com/coolroofs?sk=wall,12/12/2012 12:00:00 AM,276
NYC & Co,Facebook,http://www.facebook.com/nycgo.nl,12/12/2012 12:00:00 AM,284
MOIA,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,12/12/2012 12:00:00 AM,291
CAU,Facebook,http://www.facebook.com/NYCMayorsCAU,12/12/2012 12:00:00 AM,289
DOITT,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-INFORMATION-TECHNOLOGY-TELECOMMUNICATIONS/104786059565184,12/12/2012 12:00:00 AM,284
City Charter,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-Charter-Revision-Commission/110528715643388,12/12/2012 12:00:00 AM,284
Vets,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Veterans-Affairs/128003537214726,12/12/2012 12:00:00 AM,312
DHS,Facebook,http://www.facebook.com/pages/New-York-NY/HOPE-2011/157690657606772,12/12/2012 12:00:00 AM,294
NYC & Co,Facebook,http://www.facebook.com/nycgo.de,12/12/2012 12:00:00 AM,377
NYC & Co,Facebook,http://www.facebook.com/nycgo.fr,12/12/2012 12:00:00 AM,361
SICB1,Facebook,https://www.facebook.com/CB1SI,12/12/2012 12:00:00 AM,325
ACS,Facebook,http://www.facebook.com/FamilyConnectionsNYC,12/12/2012 12:00:00 AM,369
DCA,Facebook,http://www.facebook.com/NYCDCA,12/12/2012 12:00:00 AM,370
NYC & Co,Facebook,http://www.facebook.com/nycgo.au,12/12/2012 12:00:00 AM,383
NYC & Co,Facebook,http://www.facebook.com/nycgo.ca,12/12/2012 12:00:00 AM,404
NYCHA,Facebook,http://www.facebook.com/NYCHA,12/12/2012 12:00:00 AM,600
NYC & Co,Facebook,http://www.facebook.com/nycgo.uk,12/12/2012 12:00:00 AM,657
NYC & Co,Facebook,http://www.facebook.com/nycgo.it,12/12/2012 12:00:00 AM,852
Culture,Facebook,https://www.facebook.com/piypnyc,12/12/2012 12:00:00 AM,698
SBS,Facebook,http://www.facebook.com/NYCBusiness,12/12/2012 12:00:00 AM,810
FUND,Facebook,http://www.facebook.com/mayorsfundtoadvancenyc,12/12/2012 12:00:00 AM,801
DOT,Facebook,http://www.facebook.com/YouTheManNYC,12/12/2012 12:00:00 AM,874
NYC & Co,Facebook,http://www.facebook.com/nycgo.es,12/12/2012 12:00:00 AM,1364
HHC,Facebook,http://www.facebook.com/nychhc,12/12/2012 12:00:00 AM,1023
MOME,Facebook,http://www.facebook.com/nycmedia.jobhunt,12/12/2012 12:00:00 AM,1102
GreeNYC,Facebook,https://www.facebook.com/birdienyc,12/12/2012 12:00:00 AM,1244
311,Facebook,http://www.facebook.com/pages/New-York-City-311/84372567650,12/12/2012 12:00:00 AM,1323
DOH,Facebook,http://www.facebook.com/NYCKnows,12/12/2012 12:00:00 AM,1591
DOE,Facebook,http://www.facebook.com/nycgrads,12/12/2012 12:00:00 AM,1839
DEP,Facebook,http://www.facebook.com/nycwater,12/12/2012 12:00:00 AM,2114
MOME,Facebook,https://www.facebook.com/NYCMedia,12/12/2012 12:00:00 AM,2532
EDC,Facebook,http://www.facebook.com/NYCEDC,12/12/2012 12:00:00 AM,2793
SBS - Workforce1,Facebook,http://www.facebook.com/nycworkforce1,12/12/2012 12:00:00 AM,3687
DOT,Facebook,http://www.facebook.com/NYCDOT,12/12/2012 12:00:00 AM,3362
EDC,Facebook,http://www.facebook.com/AppSciNYC,12/12/2012 12:00:00 AM,3537
DYCD,Facebook,http://www.facebook.com/nycyouth,12/12/2012 12:00:00 AM,4309
DOH,Facebook,http://www.facebook.com/EatingHealthyNYC,12/12/2012 12:00:00 AM,6645
NYC & Co,Facebook,http://www.facebook.com/nycgo.br,12/12/2012 12:00:00 AM,4471
DOE,Facebook,http://www.facebook.com/NYCTeachingFellows,12/12/2012 12:00:00 AM,4810
NYCService,Facebook,http://www.facebook.com/nycservice,12/12/2012 12:00:00 AM,5215
NYC Mayors Cup,Facebook,https://www.facebook.com/nycmayorscup,12/12/2012 12:00:00 AM,6758
DOH,Facebook,http://www.facebook.com/nycquits,12/12/2012 12:00:00 AM,6595
DOE,Facebook,http://www.facebook.com/pages/I-TEACH-NYC/11409913191,12/12/2012 12:00:00 AM,7420
DOE,Facebook,http://www.facebook.com/fundforpublicschools,12/12/2012 12:00:00 AM,8223
DPR,Facebook,http://www.facebook.com/nycparks,12/12/2012 12:00:00 AM,12020
OEM,Facebook,http://www.facebook.com/nycemergencymanagement,12/12/2012 12:00:00 AM,13417
DOE,Facebook,http://www.facebook.com/NYCschools,12/12/2012 12:00:00 AM,18067
DOH,Facebook,http://www.facebook.com/NYCcondom,12/12/2012 12:00:00 AM,17593
NYC & Co,Facebook,http://www.facebook.com/nycgo,12/12/2012 12:00:00 AM,25510
FDNY,Facebook,http://www.facebook.com/FDNYhome,12/12/2012 12:00:00 AM,64642
CCRB,Facebook,https://www.facebook.com/home.php#!/pages/NYC-Civilian-Complaint-Review-Board/152765208087880,12/12/2012 12:00:00 AM,13
Commission on Human Rights,Facebook,http://www.facebook.com/NYCCommissionOnHumanRights,12/12/2012 12:00:00 AM,
DOB,Facebook,http://www.facebook.com/NYCBuildings,12/12/2012 12:00:00 AM,853
DSNY,Facebook,http://www.facebook.com/pages/NYC-Recycle-More-Waste-Less/152173854860863,12/12/2012 12:00:00 AM,68
HDP,Facebook,http://www.facebook.com/pages/NYC-HPD-POE/128962093860639,12/12/2012 12:00:00 AM,
HPD/Commission on Human Rights,Facebook,http://www.facebook.com/FairHousingNyc,12/12/2012 12:00:00 AM,
LPC,Facebook,http://www.facebook.com/pages/NYC-Landmarks-Preservation-Commission/133261836703216,12/12/2012 12:00:00 AM,15
